variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
depense,"secondaire, saut d'IQR",2025-04,Y_rev,HD,historique et demographies,1023,0.4858260019550342,0.7699505014880156,0.5190295766997423,0.2509209247882733,0.2063823609988966,0.2899201495098045,7.902629095741463e-45,0.0049751243781094,1.5252074154781026e-42,True
depense,"secondaire, saut d'IQR",2025-04,Y_rev,T0b,temoin constant,1023,0.4858260019550342,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
depense,"secondaire, saut d'IQR",2025-04,Y_dir,V,volatilite passee du menage seule,1023,0.4291300097751711,0.5065567759852716,0.4956112701656942,0.0109455058195774,-0.0356499408120281,0.0578743952000312,0.5738084176945435,0.5621890547263682,1.0,False
depense,"secondaire, saut d'IQR",2025-04,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1023,0.4291300097751711,0.530874574843199,0.4906432349361874,0.0402313399070115,-0.0019146530949211,0.0830907564532056,0.0234555322569714,0.0248756218905472,0.8443991612509704,False
depense,"secondaire, saut d'IQR",2025-04,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1023,0.4291300097751711,0.7113945923175337,0.5065010667925235,0.2048935255250101,0.1532939090584014,0.2406145336966605,8.954102952292273e-32,0.0049751243781094,1.5938303255080247e-29,True
depense,"secondaire, saut d'IQR",2025-04,Y_dir,D,demographies seules,1023,0.4291300097751711,0.5276839485755297,0.5473166072487284,-0.0196326586731987,-0.0569661555716009,0.0237357829039417,0.1637150051499808,0.1691542288557214,1.0,False
depense,"secondaire, saut d'IQR",2025-04,Y_dir,H,historique du menage,1023,0.4291300097751711,0.7205608169251412,0.5116193110899616,0.2089415058351795,0.1577584062017207,0.2524302217818305,1.9004580723468156e-31,0.0049751243781094,3.3448062073303953e-29,True
depense,"secondaire, saut d'IQR",2025-04,Y_dir,HD,historique et demographies,1023,0.4291300097751711,0.711626673323556,0.5158793139763472,0.1957473593472087,0.1522472978714152,0.2383508934161142,1.335466340846582e-26,0.0049751243781094,2.2168741258053263e-24,True
depense,"secondaire, saut d'IQR",2025-04,Y_dir,T0b,temoin constant,1023,0.4291300097751711,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
logement,"primaire, saut de moyenne",2025-06,Y_rev,V,volatilite passee du menage seule,1048,0.4942748091603053,0.6404859036934508,0.5302593611131347,0.1102265425803161,0.0622657945333987,0.148881842501842,8.408801770119415e-12,0.0049751243781094,9.670122035637328e-10,True
logement,"primaire, saut de moyenne",2025-06,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1048,0.4942748091603053,0.6556713047279085,0.5244801121876593,0.1311911925402491,0.0837193105465783,0.1682772919499846,1.3020438097466656e-14,0.0049751243781094,1.6145343240858653e-12,True
logement,"primaire, saut de moyenne",2025-06,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1048,0.4942748091603053,0.4283018867924528,0.4810435364609893,-0.0527416496685364,-0.1060821150304962,-0.0114311386643672,0.0035194866388877,0.0049751243781094,0.17245484530549732,False
