source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
PMM k=10,droite,uniforme,marginale3,0.1,38.68821292775665,38.68821292775665,0.0,1.0,37.495247148288975,39.881178707224336,10
PMM k=10,droite,uniforme,marginale3,0.2,38.68821292775665,38.726235741444874,0.03802281368822236,1.0009828009828012,37.55941064638783,39.85979087452472,10
PMM k=10,droite,uniforme,marginale3,0.3,38.68821292775665,38.92585551330798,0.23764258555132756,1.006142506142506,37.51901140684411,39.81701520912548,10
PMM k=10,gauche,concentre,polarisation,0.02,0.4504530967379146,0.4525325854636516,0.0020794887257369887,1.00461643785068,0.4513947750645123,0.4532399603240796,10
PMM k=10,gauche,concentre,polarisation,0.05,0.4504530967379146,0.45550026673793303,0.005047170000018419,1.0112046515754225,0.4531428886571323,0.45747055440794443,10
PMM k=10,gauche,concentre,polarisation,0.1,0.4504530967379146,0.4600107595692532,0.009557662831338576,1.0212178868356176,0.45853707294460855,0.46159516481054164,10
PMM k=10,gauche,concentre,polarisation,0.2,0.4504530967379146,0.47023149835101324,0.01977840161309863,1.0439077936334096,0.4691994150200602,0.47243474094293697,10
PMM k=10,gauche,concentre,polarisation,0.3,0.4504530967379146,0.479114522124633,0.028661425386718398,1.0636279905594574,0.4772198136038389,0.48129750902737123,10
PMM k=10,gauche,concentre,marginale1,0.02,33.65019011406844,33.678707224334595,0.028517110266157886,1.0008474576271187,33.1440114068441,34.10408745247149,10
PMM k=10,gauche,concentre,marginale1,0.05,33.65019011406844,33.944866920152094,0.29467680608365754,1.0087570621468929,33.18678707224334,34.65304182509506,10
PMM k=10,gauche,concentre,marginale1,0.1,33.65019011406844,33.92585551330798,0.2756653992395428,1.0081920903954802,33.10123574144486,34.86454372623574,10
PMM k=10,gauche,concentre,marginale1,0.2,33.65019011406844,35.057034220532316,1.406844106463879,1.0418079096045199,34.35836501901141,35.91967680608365,10
PMM k=10,gauche,concentre,marginale1,0.3,33.65019011406844,35.16159695817491,1.5114068441064745,1.0449152542372884,33.95912547528517,35.793726235741445,10
PMM k=10,gauche,concentre,marginale2,0.02,52.75665399239544,52.84220532319392,0.08555133079848076,1.0016216216216216,52.51425855513308,53.284220532319395,10
PMM k=10,gauche,concentre,marginale2,0.05,52.75665399239544,52.84220532319392,0.08555133079848076,1.0016216216216216,52.10313688212928,53.50522813688213,10
PMM k=10,gauche,concentre,marginale2,0.1,52.75665399239544,53.22243346007605,0.46577946768060485,1.0088288288288287,52.75665399239544,53.81178707224335,10
PMM k=10,gauche,concentre,marginale2,0.2,52.75665399239544,53.41254752851711,0.6558935361216669,1.0124324324324323,52.55703422053232,54.09695817490494,10
PMM k=10,gauche,concentre,marginale2,0.3,52.75665399239544,53.57414448669201,0.8174904942965711,1.0154954954954953,53.06321292775665,54.18250950570342,10
PMM k=10,gauche,concentre,marginale3,0.02,38.68821292775665,38.5361216730038,-0.1520912547528539,0.9960687960687961,38.06558935361217,38.951996197718636,10
PMM k=10,gauche,concentre,marginale3,0.05,38.68821292775665,38.84980988593155,0.16159695817489705,1.004176904176904,38.35076045627377,39.310836501901136,10
PMM k=10,gauche,concentre,marginale3,0.1,38.68821292775665,38.78326996197718,0.09505703422053102,1.0024570024570025,37.835076045627375,39.23716730038023,10
PMM k=10,gauche,concentre,marginale3,0.2,38.68821292775665,38.336501901140686,-0.3517110266159662,0.990909090909091,37.801806083650185,38.97338403041825,10
PMM k=10,gauche,concentre,marginale3,0.3,38.68821292775665,38.52661596958175,-0.16159695817490416,0.9958230958230958,37.706749049429654,39.1421102661597,10
agents composite,droite,concentre,polarisation,0.02,0.4504530967379146,0.45631795575559464,0.005864859017680024,1.0130199105304238,0.45353581661250797,0.4573184221482968,10
agents composite,droite,concentre,polarisation,0.05,0.4504530967379146,0.467011200771655,0.016558104033740362,1.03675877500599,0.46306894588069697,0.47022610469471704,10
agents composite,droite,concentre,polarisation,0.1,0.4504530967379146,0.48265712235497943,0.03220402561706481,1.0714925168686362,0.4796382567765566,0.4855946237386887,10
agents composite,droite,concentre,polarisation,0.2,0.4504530967379146,0.509420100313981,0.05896700357606638,1.1309059788978983,0.5052854540279599,0.514463811341023,10
agents composite,droite,concentre,polarisation,0.3,0.4504530967379146,0.5399713517524637,0.08951825501454908,1.1987293586453756,0.538436691822988,0.5424131139960536,10
agents composite,droite,concentre,marginale1,0.02,33.65019011406844,33.6977186311787,0.04752851711026551,1.0014124293785311,33.481463878327,33.91397338403042,10
agents composite,droite,concentre,marginale1,0.05,33.65019011406844,33.935361216730044,0.2851711026616073,1.0084745762711866,33.502851711026615,34.44153992395437,10
agents composite,droite,concentre,marginale1,0.1,33.65019011406844,34.19201520912547,0.5418250950570354,1.0161016949152544,33.69296577946768,34.579372623574145,10
agents composite,droite,concentre,marginale1,0.2,33.65019011406844,34.70532319391634,1.0551330798479057,1.0313559322033898,34.168250950570346,35.201996197718636,10
agents composite,droite,concentre,marginale1,0.3,33.65019011406844,35.22813688212928,1.5779467680608406,1.0468926553672318,35.00237642585551,35.361216730038024,10
agents composite,droite,concentre,marginale2,0.02,52.75665399239544,52.614068441064624,-0.14258555133081785,0.9972972972972969,52.32414448669201,52.83032319391635,10
agents composite,droite,concentre,marginale2,0.05,52.75665399239544,52.12927756653992,-0.6273764258555232,0.9881081081081079,51.80608365019012,52.450095057034225,10
agents composite,droite,concentre,marginale2,0.1,52.75665399239544,51.473384030418245,-1.2832699619771972,0.9756756756756755,50.86739543726235,51.784695817490494,10
agents composite,droite,concentre,marginale2,0.2,52.75665399239544,49.84790874524715,-2.908745247148289,0.9448648648648649,49.47243346007605,50.168726235741445,10
agents composite,droite,concentre,marginale2,0.3,52.75665399239544,48.57414448669202,-4.182509505703422,0.9207207207207208,48.38403041825095,48.764258555133075,10
