configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
Demographics Only - GPT4.1-mini,C,1052,0.25,0.028628010139416987,0.011455798479087452,0.017172211660329534,0.0005300355271454298,32.39822762978276,2.90707987347784e-230,1.0,12,0.045000000000000005,0.0364,0.03175,0.044110382862197386,0.08406915703409572,0.9982769638004292,
Demographics Only - GPT4.1-mini,C,1052,0.5,0.05434093789607097,0.011455798479087452,0.04288513941698352,0.0005300355271454298,80.90993380754419,0.0,1.0,12,0.045000000000000005,0.0364,0.03175,0.044110382862197386,0.08406915703409572,0.9982769638004292,
Demographics Only - GPT4.1-mini,A,2058,0.05,-0.052062893114887245,-0.04095937129436311,-0.011103521820524133,0.0024770209992217196,-4.482611097771421,7.373523317085567e-06,1.0,12,0.0342,0.02725,0.0236,-0.2944769190325218,0.005795670768630631,0.9990185821608732,0.0002433262694638237
Demographics Only - GPT4.1-mini,A,2058,0.1,-0.06793899366805115,-0.04095937129436311,-0.026979622373688034,0.0024770209992217196,-10.891963524800572,1.258962099838386e-27,1.0,12,0.0342,0.02725,0.0236,-0.2944769190325218,0.005795670768630631,0.9990185821608732,
Demographics Only - GPT4.1-mini,A,2058,0.25,-0.1170569444189609,-0.04095937129436311,-0.07609757312459779,0.0024770209992217196,-30.72140815459686,2.947174462033216e-207,1.0,12,0.0342,0.02725,0.0236,-0.2944769190325218,0.005795670768630631,0.9990185821608732,
Demographics Only - GPT4.1-mini,A,2058,0.5,-0.18617123278350658,-0.04095937129436311,-0.14521186148914347,0.0024770209992217196,-58.62358919636493,0.0,1.0,12,0.0342,0.02725,0.0236,-0.2944769190325218,0.005795670768630631,0.9990185821608732,
Demographics Only - GPT4.1-mini,B,2058,0.05,0.03320797498530814,0.02599133484088814,0.00721664014442,0.0011037801961247676,6.5381134484535135,6.229966152759915e-11,1.0,12,0.02065,0.01645,0.01425,0.2186787177647498,-0.07319732285588497,0.9975515143362023,2.1804881534659703e-09
Demographics Only - GPT4.1-mini,B,2058,0.1,0.04456524222622698,0.02599133484088814,0.018573907385338838,0.0011037801961247676,16.82754179731569,1.5333735647491292e-63,1.0,12,0.02065,0.01645,0.01425,0.2186787177647498,-0.07319732285588497,0.9975515143362023,
Demographics Only - GPT4.1-mini,B,2058,0.25,0.07899820482483624,0.02599133484088814,0.0530068699839481,0.0011037801961247676,48.02303046389898,0.0,1.0,12,0.02065,0.01645,0.01425,0.2186787177647498,-0.07319732285588497,0.9975515143362023,
Demographics Only - GPT4.1-mini,B,2058,0.5,0.1164411798748483,0.02599133484088814,0.09044984503396016,0.0011037801961247676,81.94552262444833,0.0,1.0,12,0.02065,0.01645,0.01425,0.2186787177647498,-0.07319732285588497,0.9975515143362023,
