item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
confed,2006-2010,812,0.3017241379310345,0.12561576354679804,0.4766009852216749,0.0960591133004926,0.07512315270935961
confinan,2006-2010,821,0.2984165651644336,0.13763702801461633,0.47503045066991473,0.08891595615103533,0.24847746650426308
conjudge,2006-2010,796,0.4045226130653266,0.16331658291457288,0.3869346733668342,0.04522613065326633,0.21105527638190955
conlabor,2006-2010,754,0.47745358090185674,0.14456233421750664,0.356763925729443,0.021220159151193633,0.06631299734748011
conlegis,2006-2010,817,0.42717258261933905,0.15299877600979192,0.3818849449204406,0.037943696450428395,0.19216646266829865
conmedic,2006-2010,827,0.3966142684401451,0.17412333736396615,0.39177750906892383,0.037484885126964934,0.20435308343409916
conpress,2006-2010,824,0.4381067961165049,0.1638349514563107,0.3604368932038835,0.03762135922330097,0.16140776699029127
consci,2006-2010,766,0.4255874673629243,0.17232375979112272,0.381201044386423,0.020887728459530026,0.18276762402088773
contv,2006-2010,824,0.4016990291262136,0.16990291262135923,0.3895631067961165,0.038834951456310676,0.20145631067961164
joblose,2006-2010,369,0.4444444444444444,0.13821138211382114,0.3224932249322493,0.0948509485094851,0.17886178861788618
jobfind,2006-2010,364,0.3516483516483517,0.1565934065934066,0.3956043956043956,0.09615384615384616,0.24175824175824176
happy,2006-2010,1265,0.45770750988142295,0.14861660079051384,0.3533596837944664,0.04031620553359684,0.14387351778656127
hapmar,2006-2010,548,0.6222627737226277,0.09306569343065693,0.2737226277372263,0.010948905109489052,0.145985401459854
satjob,2006-2010,783,0.4112388250319285,0.13665389527458494,0.3818646232439336,0.070242656449553,0.1839080459770115
spdeg*,2006-2010,545,0.781651376146789,0.044036697247706424,0.15412844036697249,0.02018348623853211,0.06422018348623854
unemp,2006-2010,837,0.6523297491039427,0.09199522102747909,0.25567502986857826,0.0,0.13500597371565112
spkath/y,2006-2010,860,0.7755813953488372,0.06162790697674419,0.16279069767441862,0.0,0.08604651162790698
