source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
B0 segment,droite,uniforme,camp,B,0.05,0.033512315438686956,0.03606690150542229,0.001803978879310672,-1.4160842435757806,0.15675084074289436,0.0,10,0.11470000000000001,-0.05193317136266671,0.009051805317564226,0.9984639711400439
B0 segment,droite,uniforme,camp,B,0.1,0.03047668438139737,0.03606690150542229,0.001803978879310672,-3.0988262601838397,0.0019428891846116592,0.9,10,0.11470000000000001,-0.05193317136266671,0.009051805317564226,0.9984639711400439
B0 segment,droite,uniforme,camp,B,0.2,0.026551697239856575,0.03606690150542229,0.001803978879310672,-5.274565226174723,1.3307118432621628e-07,1.0,10,0.11470000000000001,-0.05193317136266671,0.009051805317564226,0.9984639711400439
B0 segment,droite,uniforme,camp,B,0.3,0.021129389947247983,0.03606690150542229,0.001803978879310672,-8.280313993411143,1.2285092006261788e-16,1.0,10,0.11470000000000001,-0.05193317136266671,0.009051805317564226,0.9984639711400439
B0 segment,droite,uniforme,camp,C,0.02,0.02552710843373494,0.025753012048192775,0.0014427410880173514,-0.15657945582479865,0.8755762946844166,0.0,10,,-0.008292104593921957,0.012537404467607805,0.9843076594426902
B0 segment,droite,uniforme,camp,C,0.05,0.02536144578313253,0.025753012048192775,0.0014427410880173514,-0.27140439009631556,0.7860800259113329,0.0,10,,-0.008292104593921957,0.012537404467607805,0.9843076594426902
B0 segment,droite,uniforme,camp,C,0.1,0.025225903614457833,0.025753012048192775,0.0014427410880173514,-0.3653520635911929,0.7148486192792358,0.0,10,,-0.008292104593921957,0.012537404467607805,0.9843076594426902
B0 segment,droite,uniforme,camp,C,0.2,0.02444277108433735,0.025753012048192775,0.0014427410880173514,-0.9081608437838192,0.3637932483431871,0.0,10,,-0.008292104593921957,0.012537404467607805,0.9843076594426902
B0 segment,droite,uniforme,camp,C,0.3,0.02444277108433735,0.025753012048192775,0.0014427410880173514,-0.9081608437838192,0.3637932483431871,0.0,10,,-0.008292104593921957,0.012537404467607805,0.9843076594426902
B0 segment,gauche,concentre,global,A,0.02,-0.06607329438855049,-0.068442386630964,0.0042774784373516,0.5538525271632537,0.5796797765711059,0.0,10,0.14045000000000002,0.10632437044697536,-0.05536972193187833,0.9998478141219611
B0 segment,gauche,concentre,global,A,0.05,-0.063423619410241,-0.068442386630964,0.0042774784373516,1.1733004138368894,0.24067535639267063,0.0,10,0.14045000000000002,0.10632437044697536,-0.05536972193187833,0.9998478141219611
B0 segment,gauche,concentre,global,A,0.1,-0.05814395438593954,-0.068442386630964,0.0042774784373516,2.407594192666633,0.016058019249428124,0.6,10,0.14045000000000002,0.10632437044697536,-0.05536972193187833,0.9998478141219611
B0 segment,gauche,concentre,global,A,0.2,-0.04958673272772131,-0.068442386630964,0.0042774784373516,4.408123659629052,1.042700095101214e-05,1.0,10,0.14045000000000002,0.10632437044697536,-0.05536972193187833,0.9998478141219611
B0 segment,gauche,concentre,global,A,0.3,-0.04146310608672128,-0.068442386630964,0.0042774784373516,6.307286159213683,2.8397051674852563e-10,1.0,10,0.14045000000000002,0.10632437044697536,-0.05536972193187833,0.9998478141219611
B0 segment,gauche,concentre,global,B,0.02,0.04092838878859032,0.0421897808968637,0.001524859107359,-0.827218791681063,0.4081130624539848,0.0,10,0.095,-0.05333116612008905,0.014654391169364095,0.9997564452564045
B0 segment,gauche,concentre,global,B,0.05,0.0394462867221341,0.0421897808968637,0.001524859107359,-1.7991787972340796,0.07199040227071091,0.0,10,0.095,-0.05333116612008905,0.014654391169364095,0.9997564452564045
B0 segment,gauche,concentre,global,B,0.1,0.03696598288296323,0.0421897808968637,0.001524859107359,-3.425757821617954,0.0006130867625435316,1.0,10,0.095,-0.05333116612008905,0.014654391169364095,0.9997564452564045
B0 segment,gauche,concentre,global,B,0.2,0.03227410758921602,0.0421897808968637,0.001524859107359,-6.502681631236908,7.890066606528244e-11,1.0,10,0.095,-0.05333116612008905,0.014654391169364095,0.9997564452564045
B0 segment,gauche,concentre,global,B,0.3,0.027444449201475162,0.0421897808968637,0.001524859107359,-9.669963358730833,4.045228863354194e-22,1.0,10,0.095,-0.05333116612008905,0.014654391169364095,0.9997564452564045
B0 segment,gauche,concentre,global,C,0.02,0.026891634980988594,0.0272338403041825,0.0009241516858999,-0.37029129353443985,0.7111654602644039,0.0,10,,-0.00913529603740734,0.007993976455706165,0.9960498089322675
